application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1,Female,False,3.3,Business,Asian,620.0,3.0,Financial Services,Admit
2,Male,False,3.28,Humanities,Black,,5.0,Investment Management,Reject
3,Female,True,3.3,Business,,710.0,5.0,Technology,Admit
4,Male,False,3.47,STEM,Black,690.0,,Technology,Reject
5,Male,False,3.35,STEM,Hispanic,590.0,5.0,Consulting,Reject
6,Male,,3.18,Business,White,610.0,6.0,Consulting,Reject
7,Female,False,2.93,STEM,Other,590.0,3.0,Technology,Admit
8,Male,True,3.02,Business,,630.0,6.0,Financial Services,Reject
9,Male,False,3.24,Business,White,590.0,2.0,Nonprofit/Gov,Reject
10,Male,False,3.27,Humanities,Asian,690.0,3.0,Consulting,Reject
11,Male,False,,Humanities,White,580.0,5.0,Technology,Reject
12,Male,True,2.85,Humanities,,580.0,4.0,PE/VC,Reject
14,Female,False,3.39,Business,Black,690.0,4.0,Nonprofit/Gov,Reject
15,Female,False,3.03,STEM,White,600.0,5.0,Technology,Admit
16,Female,True,3.05,Humanities,,710.0,4.0,Consulting,Admit
17,Female,,3.32,Business,Asian,710.0,5.0,PE/VC,Admit
18,Male,False,3.23,Humanities,Black,700.0,4.0,Health Care,Reject
19,Male,False,3.13,Humanities,White,630.0,6.0,Financial Services,Reject
20,Male,True,3.09,Business,,670.0,8.0,Consulting,Reject
21,Male,False,3.46,,White,760.0,5.0,Investment Banking,Admit
22,Female,False,3.64,Humanities,Black,710.0,6.0,Financial Services,Reject
23,Female,True,3.42,Business,,640.0,6.0,Consulting,Admit
24,Male,False,3.4,Business,White,680.0,6.0,PE/VC,Reject
25,,False,3.47,STEM,White,710.0,5.0,Consulting,Admit
26,Male,False,3.26,Humanities,Asian,690.0,5.0,Technology,Admit
27,Male,True,2.99,STEM,,640.0,5.0,Consulting,Reject
28,Male,False,3.39,STEM,Other,730.0,4.0,Other,Reject
29,Male,False,3.08,Business,Asian,570.0,7.0,Retail,Reject
30,Male,True,3.65,STEM,,700.0,5.0,Consulting,Admit
31,Male,True,3.04,STEM,,610.0,4.0,Consulting,Reject
32,Male,False,3.19,Humanities,White,580.0,5.0,PE/VC,Reject
33,,False,3.33,Humanities,Black,700.0,6.0,Investment Banking,Reject
34,Female,False,3.53,STEM,White,710.0,,Consulting,Admit
35,Male,False,3.5,Business,White,650.0,7.0,Consulting,Reject
36,Male,True,3.22,,,670.0,4.0,Other,Reject
37,Male,False,3.5,STEM,Hispanic,720.0,5.0,Health Care,Reject
38,Female,False,3.16,STEM,Black,590.0,4.0,Investment Management,Reject
39,,False,3.3,Humanities,Asian,740.0,6.0,Investment Banking,Admit
40,Female,False,3.45,Humanities,Asian,640.0,3.0,PE/VC,Admit
41,Female,True,,Business,,610.0,4.0,PE/VC,Admit
42,Female,True,3.41,Business,,600.0,7.0,Nonprofit/Gov,Admit
43,Male,False,3.38,Humanities,Asian,720.0,,Consulting,Reject
44,Female,False,2.93,Humanities,Other,590.0,4.0,Consulting,Admit
45,Male,False,3.27,STEM,Other,650.0,5.0,Consulting,Reject
46,Male,False,3.32,STEM,Asian,730.0,4.0,Health Care,Reject
47,Male,True,3.13,Humanities,,610.0,5.0,PE/VC,Reject
48,Male,False,3.33,STEM,Hispanic,720.0,7.0,Consulting,Admit
49,Male,,3.23,STEM,Black,660.0,6.0,Other,Reject
50,Male,False,3.38,,Hispanic,680.0,5.0,Consulting,Reject
52,Male,,3.43,Business,Asian,650.0,4.0,Nonprofit/Gov,Reject
53,,False,3.19,Business,White,650.0,5.0,Financial Services,Reject
54,Female,False,3.23,STEM,Asian,700.0,6.0,PE/VC,Admit
55,Male,,2.96,,Black,610.0,6.0,Consulting,Reject
56,Female,False,3.44,STEM,Black,680.0,4.0,,Reject
57,Male,False,3.09,Business,Other,610.0,6.0,Consulting,Reject
58,Female,True,3.05,Business,,650.0,7.0,Health Care,Admit
59,Male,True,3.01,Humanities,,,6.0,Consulting,Reject
60,Male,False,,Humanities,,740.0,4.0,Financial Services,Reject
61,Female,False,3.27,Business,White,670.0,,Consulting,Admit
62,Male,False,3.13,Humanities,Black,630.0,5.0,Financial Services,Reject
63,Female,True,3.0,STEM,,640.0,,Financial Services,Admit
64,Male,False,3.36,STEM,Black,650.0,5.0,Technology,Reject
65,Female,False,3.39,Humanities,White,680.0,,Investment Banking,Admit
66,Male,True,3.31,Business,,670.0,4.0,Nonprofit/Gov,Reject
67,Male,False,3.07,STEM,Other,570.0,6.0,Other,Reject
68,Male,False,3.53,STEM,White,690.0,5.0,Technology,Reject
69,Male,False,3.49,Business,Black,620.0,,Energy,Reject
70,Male,False,3.41,Humanities,White,690.0,6.0,Technology,Admit
71,Male,True,3.34,STEM,,690.0,5.0,Nonprofit/Gov,Reject
73,Female,True,3.34,STEM,,680.0,5.0,PE/VC,Admit
74,Female,,2.89,Humanities,,670.0,5.0,Consulting,Admit
75,Female,True,3.35,Business,,640.0,5.0,PE/VC,Admit
77,Male,False,3.18,Humanities,Black,640.0,4.0,PE/VC,Reject
78,Male,True,3.2,Humanities,,640.0,5.0,Nonprofit/Gov,Reject
79,Male,False,3.17,Business,Hispanic,640.0,4.0,Other,Reject
80,Female,False,3.1,,Asian,680.0,4.0,Health Care,Admit
81,Male,False,2.93,Humanities,Hispanic,620.0,4.0,Technology,Reject
82,Male,True,3.2,STEM,,730.0,4.0,PE/VC,Reject
83,Male,False,3.52,STEM,Hispanic,610.0,6.0,Consulting,Reject
84,,False,3.35,Humanities,White,710.0,6.0,Consulting,Admit
85,,False,3.15,STEM,Hispanic,620.0,4.0,PE/VC,Reject
86,Male,False,3.21,Business,Hispanic,640.0,6.0,Nonprofit/Gov,Reject
87,Male,False,3.1,Business,Hispanic,670.0,7.0,Financial Services,Reject
88,Male,False,3.48,Business,,710.0,5.0,Consulting,Admit
89,,False,3.15,Humanities,Asian,650.0,6.0,Consulting,Reject
90,Male,False,3.09,Business,Other,610.0,6.0,Consulting,Reject
91,Female,False,3.14,Humanities,Hispanic,660.0,6.0,Consulting,Reject
92,Male,False,2.97,STEM,Asian,580.0,4.0,Consulting,Reject
93,Male,False,3.17,STEM,White,670.0,5.0,PE/VC,Reject
95,Female,False,3.05,Humanities,White,600.0,5.0,,Admit
96,Male,False,3.32,Business,Black,670.0,4.0,,Admit
97,Male,False,3.08,Humanities,Asian,640.0,5.0,Technology,Reject
98,Male,True,3.36,STEM,,690.0,5.0,CPG,Reject
99,,False,3.1,Humanities,,610.0,5.0,Health Care,Reject
100,Female,False,3.38,Humanities,White,660.0,5.0,Consulting,Admit
101,Male,False,3.26,Humanities,Hispanic,650.0,6.0,Real Estate,Reject
102,Male,False,3.2,Humanities,Hispanic,600.0,4.0,Investment Banking,Reject
103,Male,False,3.65,Humanities,Black,700.0,6.0,Health Care,Reject
104,Female,True,3.34,Business,,650.0,5.0,Financial Services,Admit
105,Female,False,3.3,Humanities,Hispanic,670.0,4.0,Nonprofit/Gov,Admit
106,Male,False,3.11,Business,Asian,610.0,6.0,PE/VC,Reject
107,Male,True,3.08,Humanities,,740.0,4.0,Health Care,Reject
108,Male,False,3.2,STEM,White,590.0,5.0,Consulting,Reject
109,Male,True,,STEM,,,5.0,Other,Reject
110,Male,False,3.21,,Black,610.0,4.0,PE/VC,Reject
111,Female,False,3.26,Humanities,Black,670.0,6.0,Consulting,Reject
112,Female,False,3.29,STEM,Hispanic,640.0,6.0,Investment Banking,Reject
113,Female,False,3.25,Humanities,Hispanic,640.0,5.0,Other,Reject
114,Female,False,3.2,Humanities,Asian,680.0,7.0,Consulting,Admit
